timestamp            ,item                                                     ,slug                                                                 ,server   ,top_buy  ,low_sell  ,avg_price ,volume   ,source
2025-10-18T16:20:18Z ,Rescuer Boots                                            ,mediumfeet_rescuert5                                                 ,devaloka ,         ,    20.0  ,          ,    15.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Minstrel Gloves                                          ,fembard_medgloves_dropt3                                             ,devaloka ,         ,    45.0  ,          ,     4.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Rescuer Shirt                                            ,mediumchest_rescuert4                                                ,devaloka ,         ,   100.0  ,          ,     2.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Sorcerer Hunter Pants                                    ,mediumlegs_sorchuntert5                                              ,devaloka ,         ,    25.0  ,          ,    11.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Engineer Gloves                                          ,clothinghands_engineert4                                             ,devaloka ,         ,   600.0  ,          ,     4.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Tainted Hat                                              ,mediumhead_angryearth2t4                                             ,devaloka ,         ,   100.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Defiled Leather Coat                                     ,mediumchest_corrupted1t4                                             ,devaloka ,         ,   500.0  ,          ,     2.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Sorcerer Hunter Boots                                    ,mediumfeet_sorchuntert2                                              ,devaloka ,         ,    60.0  ,          ,     2.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Smelter's Smock                                          ,clothingchest_smeltert5                                              ,devaloka ,         ,  1800.0  ,          ,     7.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Scout's Guards                                           ,femscout_medgloves_dropt3                                            ,devaloka ,         ,   100.0  ,          ,     2.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Trapper Gloves                                           ,mediumhands_furdropt5                                                ,devaloka ,         ,    25.0  ,          ,    16.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Gorgon's Cuirass                                         ,mediumchest_hercyneraid_craftedschematic                             ,devaloka ,         ,  3911.0  ,          ,     3.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Beasthunter Footwraps                                    ,mediumfeet_beasthuntert5                                             ,devaloka ,         ,    50.0  ,          ,    13.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Tainted Gloves                                           ,mediumhands_angryearth2t5                                            ,devaloka ,         ,   500.0  ,          ,     5.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Infused Fur Hat                                          ,mediumhead_furt5                                                     ,devaloka ,         ,    49.0  ,          ,     8.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Pirate Gunslinger Gloves                                 ,mediumhands_undeadpistoleert3                                        ,devaloka ,         ,    24.99 ,          ,     4.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Desecrated Leather Pants                                 ,mediumlegs_lostelite1t3                                              ,devaloka ,         ,    10.0  ,          ,     5.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Rugged Leather Hat                                       ,mediumhead_leathert3                                                 ,devaloka ,         ,    60.0  ,          ,    20.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Pirate Captain Shoes                                     ,mediumfeet_undeadofficert5                                           ,devaloka ,         ,    40.0  ,          ,     8.0 ,nwmp_snapshot
